epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9350109696388245,0.0010000000474974513,0.17057162523269653,0.900346040725708,1.2746089696884155
1,0.959076464176178,0.0010000000474974513,0.11448071151971817,0.9024221301078796,0.9527411460876465
2,0.9618861675262451,0.0010000000474974513,0.10079813003540039,0.975086510181427,0.13703179359436035
3,0.9645736813545227,0.0010000000474974513,0.09155478328466415,0.9114186763763428,0.7367492318153381
4,0.9679941534996033,0.0010000000474974513,0.09477937966585159,0.9051902890205383,0.9655712842941284
5,0.9717810750007629,0.0010000000474974513,0.08160532265901566,0.9695501923561096,0.12137747555971146
6,0.9700708389282227,0.0010000000474974513,0.08401424437761307,0.9550173282623291,0.15812405943870544
7,0.9699487090110779,0.0010000000474974513,0.08369138091802597,0.9467127919197083,0.23206178843975067
8,0.9736135005950928,0.0010000000474974513,0.0762111246585846,0.929411768913269,0.27788615226745605
9,0.9727583527565002,0.0010000000474974513,0.07594947516918182,0.8823529481887817,0.5726341605186462
10,0.9730026721954346,0.0010000000474974513,0.07388181239366531,0.9577854871749878,0.21345087885856628
11,0.9747129082679749,0.0010000000474974513,0.07228907942771912,0.8449826836585999,0.5489141941070557
12,0.9742242693901062,0.0010000000474974513,0.06881404668092728,0.9515570998191833,0.2438293695449829
13,0.9772782921791077,0.0005000000237487257,0.060361914336681366,0.9432526230812073,0.29981350898742676
14,0.9777669310569763,0.0005000000237487257,0.05566655099391937,0.9425605535507202,0.2583039700984955
15,0.9819203615188599,0.0005000000237487257,0.05573364719748497,0.970934271812439,0.11005183309316635
16,0.9816760420799255,0.0005000000237487257,0.051883284002542496,0.9806228280067444,0.09348182380199432
17,0.9792328476905823,0.0005000000237487257,0.05204911157488823,0.970934271812439,0.1165112778544426
18,0.9832640886306763,0.0005000000237487257,0.048047371208667755,0.9737024307250977,0.09496787190437317
19,0.98008793592453,0.0005000000237487257,0.0510978102684021,0.9854671359062195,0.05913950875401497
20,0.9833862781524658,0.0005000000237487257,0.04758653789758682,0.9785467386245728,0.0887015089392662
21,0.9831419587135315,0.0005000000237487257,0.046512674540281296,0.9757785201072693,0.08168137073516846
22,0.9846078753471375,0.0005000000237487257,0.04186065122485161,0.9868512153625488,0.0532713308930397
23,0.9817981719970703,0.0005000000237487257,0.05177789926528931,0.9861591458320618,0.047995030879974365
